和子女王	And son queen 
蓝钧天	Lan Juntian 
游荣华	You Ronghua 
file:虾夷共和国国旗.png	file:Flag of Ezo Republic.png 
第7装甲师_(德国国防军)	7th Armored Division_ (German Wehrmacht) 
杀手系列	Killer series 
大唐歌飞	Datang Gefei 
柏林赫塔ii队	Hertha Berlin II 
厦门航空	Xiamen Airlines 
破打狗棒法	Broken dog 
关东州厅	Kanto State Office 
国家体育场有限责任公司	National Stadium Co., Ltd. 
流行别注	Popular note 
跟随你	follow you 
第三波女性主义	Third wave feminism 
大连体育中心	Dalian Sports Center 
武国定	Wu Guoding 
比尔与美琳达·盖茨基金会	Bill and Melinda Gates Foundation 
宋智爱	Song Jiai 
二十一世纪福斯	21st Century Fox 
德国民主党	German Democratic Party 
魁北克国民议会	National Assembly of Quebec 
不开放原始码	Not open source code 
里夫战争_(1920年)	Reeve War_ (1920) 
多世界诠释	Multi-world interpretation 
匈牙利共产党	Communist Party of Hungary 
昭惠王后	Queen Zhaohui 
偷心大圣ps男	Stole the heart ps male 
布罗尼体育会	Broney Sports Club 
依诺增爵九世	Innocent IX 
耶拿卡尔蔡司足球俱乐部	Jena Carl Zeiss Football Club 
和歌山县民歌	Wakayama Folk Songs 
印度国旗	Indian flag 
金山软件	Kingsoft 
凤鸣里	Fengmingli 
中国人民解放军军事工程学院	Chinese People's Liberation Army Military Engineering Academy 
竹寮里	Zhuliao Li 
石元丈晴	Shi Yuan Zhangqing 
山中朝子	Asako Yamanaka 
美国各州首府列表	List of US state capitals 
u2	U2 
塞尔维亚国家男子篮球队	Serbia National Men's Basketball Team 
南马福建话	Hokkien 
孝元贞皇后	Empress Xiaoyuanzhen 
阿波罗指令/服务舱	Apollo Command/Service Class 
三星信用卡	Samsung Credit Card 
深津康太	Kota Fukatsu 
安菲特里忒	Amphitrite 
特威德河畔贝里克总督	Governor of Berwick-upon-Tweed 
庆旼大学	Kyung Min University 
塞弗恩河畔斯陶尔波特	Stourport-sur-Severn 
特雷比亚河战役	Battle of Trebbia 
kpf建筑事务所	kpf architects 
迈凯伦集团	McLaren Group 
金大花的华丽冒险	Golden Big Flower's Gorgeous Adventure 
迈恩伦战役	Battle of Mainen 
尼泊尔大会党	Nepal Congress Party 
十二狮	Twelve lions 
新传媒朝阳频道	New Media Chaoyang Channel 
不伦瑞克-吕讷堡公爵	Duke of Brunswick-Lüneburg 
山南高卢人	Shannan Gaul 
索尼音乐娱乐中国	Sony Music Entertainment China 
撒哈拉地区	Sahara 
amethi_(lok_sabha_constituency)	amethi_(lok_sabha_constituency) 
中国2010年上海世界博览会	China 2010 Shanghai World Expo 
杨-米尔斯理论	Young-Mills Theory 
中西里菜	Chinese Sicilian 
高松里	Takamatsu-ri 
fatshark	fatshark 
光荣特库摩游戏	Koei Tecmo Game 
爱奥那岛	Iona 
香港商报	Hong Kong Commercial Daily 
平繁龙一	Pingfan Ryuichi 
上海动车段	Shanghai EMU 
斯托克顿_(加利福尼亚州)	Stockton_ (California) 
异尘馀生系列	The rest of the dust series 
田冈克介	Kousuke Taoka 
洛约拉赛狗	Loyola Greyhound 
阿加莎_(诺曼底)	Agatha_ (Normandy) 
nardcore	nardcore 
李兆龙	Li Zhaolong 
清朝统一战争	Qing Dynasty Unification War 
椎名町站	Shiinamachi Station 
74号州际公路	Interstate 74 
多明尼加白人（多明尼加共和国）	Dominican White (Dominican Republic) 
竹峰里	Zhufengli 
美国联邦航空管理局	Federal Aviation Administration 
后安里	Hou Anli 
橘郡风云_(第四季)	Orange County Storm_(Season 4) 
瓦拉纳西机场	Varanasi Airport 
美国天主教大学哥伦布法学院	Catholic University Columbus School of Law 
乐得_(运动品牌)	Lede_ (sports brand) 
睡公主城堡	Sleeping princess castle 
鞍手町	Kurate Town 
弗里代克-米斯泰克	Friedek-Mistek 
快刀洪吉童	Hong Jidong 
东部标准时区	Eastern Standard Time 
动画导演	Animation director 
皇象水泥体育场	King Elephant Cement Stadium 
黑田孝高	Kuroda Takataka 
天德重宝	Tendou handy 
永平公主	Princess Yong Ping 
g4_(tv_channel)	гч_ (тв_чанел) 
石津大介	Daisuke Ishizu 
全球绿党联盟	Global Green Party Alliance 
徐正康	Xu Zhengkang 
圣奥尔本斯_(英国国会选区)	St Albans_ (British Parliamentary Constituency) 
parramatta足球会	parramatta football club 
冰岛克朗	Iceland Krona 
西特哲胡提	Sit Jehuti 
史托斯桥钢铁足球会	Stors Bridge Steel Football Club 
泰宫聪子内亲王	Prince of Taigong Satoshi 
皇家穹顶宫	Royal Pavilion 
奥卡姆的威廉	William of Occam 
雷丁东_(英国国会选区)	Reading East_(British Parliamentary Constituency) 
琉球足球会	Ryukyu Football Club 
章子女王	Zhang Zi Queen 
第二次世界大战期间的泰国	Thailand during the Second World War 
山本哲也	Tetsuya Yamamoto 
日本电视台周三连续剧	TV series on Wednesday 
印度尼西亚国民军陆军	Indonesian National Army Army 
韩国u23国家足球队	South Korea u23 national football team 
.ye	.and also 
和田薰	Kaoru Wada 
目黑将司	Shoji Meguro 
十九世纪哲学	Nineteenth century philosophy 
英国广播公司新闻网	BBC News 
内蒙古自治区人民政府	People's Government of Inner Mongolia Autonomous Region 
天光道官立中学	Tin Kwong Road Government Secondary School 
王治平	Wang Zhiping 
东福寺站	Tofukuji Station 
李戡	Li Kan 
荒木飞吕彦	Araki Hirohiko 
陆小荣	Lu Xiaorong 
真珠美人鱼	The Pearl Mermaid 
南非大学	University of South Africa 
群体遗传学	Population genetics 
柬埔寨王国	Kingdom of Cambodia 
卡斯县_(内布拉斯加州)	Cass County_(Nebraska) 
西班牙超级杯	Spanish Super Cup 
东京养乐多燕子	Tokyo Yakult Swallows 
大西洋战役	Battle of the Atlantic 
inac神户雌狮	inac Kobe Lioness 
久保带人	Kubo Tairen 
埃塞俄比亚皇帝	Emperor of ethiopia 
罗伯特·斯科特_(北婆罗洲)	Robert Scott_ (North Borneo) 
伊洛拿	Ilona 
北海道旗	Hokkaido flag 
.kp	.kp 
蒙藏委员会	Mongolian and Tibetan Committee 
阿部记之	Abe Keiyuki 
布洛涅的马蒂尔达	Matilda of Boulogne 
蓝天脚踏板	Blue sky pedal 
实时操作系统	Real-time operating system 
非洲集团军	African Army 
邵逸夫数学科学奖	Shaw Prize for Mathematical Sciences 
赫罗纳亲王	Prince of Girona 
傅孟融	Fu Mengrong 
苏格兰大臣	Minister of Scotland 
动画新闻网	Animation News Network 
神奇宝贝超级愿望	Pokémon Super Wish 
平原大君	Lord of the Plains 
广田一成	Hirota Issei 
孙平海	Sun Pinghai 
同平章事	Tongping Zhangshi 
美国国家科学院	National Academy of Sciences 
综合命题	Comprehensive proposition 
石天欣	Shi Tianxin 
柏林科学院	Berlin Academy of Sciences 
福康安	Fukangan 
特里斯坦十世	Tristan X 
基本法咨询委员会	Basic Law Advisory Committee 
阿富汗财政部长	Minister of Finance of Afghanistan 
慧愍固伦公主	Princess Huimin Gulun 
温和自由党	Moderate Liberal Party 
.is	.is 
柏林州议会	Berlin State Parliament 
水户市立竞技场	Mito City Arena 
固伦永安长公主	Princess Gulun Wing On 
徐嘉敏	Xu Jiamin 
verve唱片	verve record 
三木谷浩史	Hiroshi Mikitani 
单一选区两票制	Single Constituency Two-vote System 
梁启勋	Liang Qixun 
哥特哈德·海因里希	Gerhard Heinrich 
尼萨河畔体育场	Nissam Stadium 
潮流服饰品牌老板兼设计师	Trendy apparel brand owner and designer 
史提芬·京_(足球运动员)	Steven Jing_ (football player) 
纳赛尔水库	Nasser res. 
摩罗西亚列表	List of Morocco 
伊高云高	Igo Yunga 
格拉斯哥凯尔文_(苏格兰议会选区)	Glasgow Kelvin_ (Scottish Parliament constituency) 
安·罗伯特·雅克·杜尔哥，劳恩男爵	Ann Robert Jacques Durg, Baron Lauen 
台北市立明伦高级中学	Taipei City Minglun Senior High School 
hpt-32_风神	hpt-32_fengshen 
广体客机	Wide body airliner 
pugs	pugs 
蒙古入侵格鲁吉亚与亚美尼亚	Mongolia invades Georgia and Armenia 
荷属印度卢比	Dutch Indian Rupee 
皇八女_(康熙帝)	The Eighth Daughter_(Kangxi Emperor) 
靠右行驶	Keep right 
王忽察都	Wang Huchadu 
五行拳法	Five Elements Fist 
以色列摇滚	Israeli rock 
第二代谢尔本伯爵威廉·佩蒂	William Petty, the Second Earl of Urban 
国家马克	National Mark 
第一次马纳沙斯之役	The first battle of Manassas 
公主的男人	Princess man 
比巴乌	Bibau 
联合国儿童基金会	UNICEF 
生物分类学	Biological taxonomy 
爱德华·詹姆斯·布鲁斯，第十代埃尔金伯爵	Edward James Bruce, 10th Earl of Elgin 
印尼总理	Prime Minister of Indonesia 
哥特式建筑	Gothic style architecture 
善恩·宾特·侯赛因公主	Princess Shane Bint Hussein 
福州话假名	Fuzhou dialect pseudonym 
南斯拉夫元帅	Marshal of Yugoslavia 
香港五十元纸币	Hong Kong Fifty Dollar Notes 
西多塞特_(英国国会选区)	West Dorset_(British Parliamentary District) 
芝加哥小熊开幕战先发投手列表	List of starting pitchers for the Chicago Cubs opening game 
曹贵裁	Cao Guicai 
美丽的岛屿	Beautiful island 
克洛泰尔一世	Clotel I 
逆输入～港湾局～	Reverse import ~ Port and Harbor Bureau ~ 
亚洲政党国际会议	International Conference of Asian Political Parties 
前514年	514 years ago 
锦江_(赣江支流)	Jinjiang_(A tributary of the Ganjiang River) 
艾奥瓦城_(艾奥瓦州)	Iowa City_(Iowa) 
卡尚高等师范学校	Kashan Higher Normal School 
乌克兰足球甲级联赛	Ukrainian Football League 
藤原赖宗	Fujiwara Yizumi 
sinergy	sinergy 
森住惣一郎	Soichiro Morizumi 
亚琛工业大学	Aachen University of Technology 
里斯本大都会区	Lisbon Metropolitan Area 
高千穗峡	Takachiho Gorge 
费奥多拉公主_(萨克森-迈宁根)_(1890-1972)	Princess Feodora_(Saxony-Meiningen)_(1890-1972) 
1989年亚洲女子足球锦标赛	1989 Asian Women's Football Championship 
罗马尼亚国家银行	National Bank of Romania 
重庆市人民政府	Chongqing Municipal People's Government 
北海银滩	Beihai Silver Beach 
阿拉伯民族主义	Arab nationalism 
谷口博之	Hiroyuki Taniguchi 
片山阳加	Haruka Katayama 
泰国国防学院	Thailand National Defense Academy 
迈克尔﹒威廉姆斯	Michael. Williams 
香港重光	Hong Kong 
土屋正忠	Masatada Tsuchiya 
圣加理多一世堂	Church of St. Gary I 
乐华娱乐	Lehua Entertainment 
星光灿烂_(电视剧)	Stars Brilliant_ (TV series) 
巴特尔_(中共高级官员)	Battelle (Senior CCP official) 
巨岩点_(马里兰州)	Giant Rock Point_ (Maryland) 
摩登新人类	Modern New Human 
波兰帕克斯协会	Polish Parks Association 
蒙纳士大学	Monash University 
السعودية.	Saudi. 
有限理性	Bounded rationality 
福克兰群岛立法会议	Falkland Islands Legislative Council 
田岛照久_(设计师)	Tajima Teruhisa_(Designer) 
阿明塔斯三世	Amintas III 
李丙勋	Li Bingxun 
陈文香	Chen Wenxiang 
淄博星期天	Zibo Sunday 
菲律宾群岛	Philippines 
芬兰党	Finnish Party 
伊比利亚-罗曼语支	Iberian-Romantic 
奥达斯圣保罗	Odas Sao Paulo 
继体天皇	Emperor Shidi 
英若诚	Ying Ruocheng 
邦久王	Bangjiu 
洛克滕堡的约瑟芬	Josephine of Loketenburg 
贵琼语	Guiqiong 
全国人大机关办公楼	National People's Congress Office Building 
jean-françois_lyotard	jean-françois_lyotard 
法国宇航	French Aerospace 
玛丽·伊莉莎伯·庞森比	Mary Elizabeth Ponsonby 
大雄的秘密道具博物馆	Nobita's Secret Prop Museum 
transnet	transnet 
清迈国际机场	Chiang Mai International Airport 
玛丽亚·皮亚（两西西里，1849－1882)	Maria Pia (Two Sicily, 1849-1882) 
通用直升机	Utility helicopter 
乌得勒支和约	Peace of Utrecht 
英国气象局	British Met Office 
elektra唱片	elektra record 
火线猎杀：暗影战争	Hunting in the Wire: Shadow War 
功夫熊猫	kungfu Panda 
哥谭_(电视剧)	Gotham_ (TV series) 
那拉氏	Nara 
哈萨克国家橄榄球队	Kazakhstan National Football Team 
赵良鹰	Zhao Liangying 
盛装打扮	Dress up 
伏见博英	Hirohide Fushimi 
邵将语	Shao Jiangyu 
关宛珊	Guan Wanshan 
闭气秘诀	The secret of holding breath 
沈阳飞机公司	Shenyang Aircraft Company 
阿布扎比联合财团	Abu Dhabi Joint Consortium 
弘中绫香	Hironaka Ayaka 
中正里_(旗山区)	Zhongzheng Li_ (Qishan District) 
新墨西哥州第三国会选区	New Mexico Third Congressional District 
耶律普速完	Yellup 
村上一树	Murakami Kazuki 
教宗欧瑟伯	Pope Ossberg 
file:kazakhstan_2006.ogg	file:kazakhstan_2006.ogg 
捷克社民党	Czech Social Democratic Party 
胡枝子	Lespedeza 
太田诚一	Seiichi Ota 
约翰·索尔，第一代廷茅斯男爵	John Saul, the first Baron Teignmouth 
微笑百事达	Smiling Blockbuster 
三星物产	Samsung C&T 
诺维奇_(纽约州)	Norwich_ (New York State) 
车辆号牌	Vehicle number plate 
格济大学	Gezi University 
宁波华茂外国语学校	Ningbo Huamao Foreign Language School 
门德赛汗·恩赫赛汗	Mendsaihan Enkhsaihan 
航空运输	air freight 
专业律师	Professional lawyer 
魁北克集团	Quebec Group 
山冈信一	Yamaoka Shinichi 
澳洲储备银行	Reserve Bank of Australia 
李居丽	Li Juli 
李创锐	Li Chuangrui 
格鲁吉亚银行	Bank of Georgia 
唐德影视	Tang De Television 
香港专业教育学院	Hong Kong Institute of Vocational Education 
近代早期	Early modern 
侯佩岑．微时尚：风衣、内搭背心、牛仔裤，进入时尚领域最简单的实战笔记	Patty Hou. Micro-fashion: windbreaker, inner vest, jeans, the simplest practical notes for entering the fashion field 
五月太阳	May Sun 
特命担当大臣（冲绳及北方对策担当）	Minister in charge (in charge of countermeasures for Okinawa and the North) 
卡米洛·奔索，加富尔伯爵	Camilo Penso, Count Cavour 
教宗斯德望五世	Pope Stephen V 
.cx	.cx 
高蓉蓉	Gao Rongrong 
湘南台站	Shonandai Station 
阿米卡弗龙基体育会	Amikavronki Sports Club 
雅罗斯拉夫尔辛尼克足球俱乐部	Yaroslavl Sinnik Football Club 
科尔比学院	Colby College 
国务院议事协调机构	State Council Coordination Agency 
沈阳铁路局	Shenyang Railway Bureau 
巴勒斯坦解放组织	Palestine Liberation Organization 
井深大	Well Shenda 
敏惠恭和元妃	Former Princess Harjol 
中央军事委员会政法委员会	Political and Legal Committee of the Central Military Commission 
安联公园球场	Allianz Park Stadium 
岛村毅	Shimamura Takeshi 
高山村_(群马县)	Takayama Village_ (Gunma Prefecture) 
周家斌	Zhou Jiabin 
赛哈密	Sai Hamid 
野泽洋辅	Nozawa Yosuke 
梁启文	Liang Qiwen 
河北中基女子足球俱乐部	Hebei Zhongji Women's Football Club 
斯威士兰王国国王列表	List of Kings of the Kingdom of Swaziland 
丰田卡罗拉	Toyota Corolla 
芬达乐器公司	Fanta Musical Instruments 
沙巴阿罗登足球俱乐部	Sabah Alordon Football Club 
应用程序框架	Application framework 
教宗若望九世	Pope John IX 
仁慈里	Kindness 
台北城市科技大学	Taipei City University of Science and Technology 
thunderstick	thunderstick 
拉汉温抵抗军	Rahan Win Resistance Army 
查谟-克什米尔邦议会	Jammu and Kashmir State Assembly 
通勤铁路	Commuter rail 
辽宁科技大学	Liaoning University of Science and Technology 
南极大陆_(电视剧)	Antarctica_(TV series) 
香港立法会议员列表	List of Hong Kong Legislative Council Members 
苏州趣普仕足球俱乐部	Suzhou Trips Football Club 
会津藩	Aizu clan 
马德里公爵	Duke of Madrid 
法国国家u21国家足球队	French national u21 national football team 
巴伐利亚马克斯·约瑟夫骑士勋章	Knights of the Order of Bavaria Max Joseph 
巴顿_(中国足球运动员)	Button_ (Chinese football player) 
国会感谢	Congress thanks 
神奇宝贝超世代	Pokémon Super Generation 
多田大介	Daisuke Tada 
本多勇喜	Yuki Honda 
浦和红钻女子队	Urawa Red Diamonds Women's Team 
江西省奥体中心	Jiangxi Olympic Sports Center 
纯爱三十年	Thirty years of pure love 
德国联邦总理办公厅	Office of the Federal Chancellor of Germany 
东京地震8.0	Tokyo Earthquake 8.0 
.za	.for 
沃伦县_(爱阿华州)	Warren County_ (Iowa) 
金学承	Jin Xuecheng 
阿勒颇伊蒂哈德体育俱乐部	Ittihad Sports Club Aleppo 
新加坡金融管理局	Monetary Authority of Singapore 
吉尔马·沃尔德-乔治斯	Gilmar Wald-Georges 
汤美·拉迪富治	Tommy Rady Forge 
amblimation	amblimation 
英式浩室	English style house 
新加坡管理大学	Singapore Management University 
mahmut_özgener	mahmut_ozgener 
进一步说明	Further explanation 
夏锦文	Xia Jinwen 
瑞典克朗	Swedish Krona 
勒克瑙县	Lucknow County 
米歇尔_(昆士兰州)	Michelle_ (Queensland) 
内布拉斯加大学奥马哈分校	University of Nebraska at Omaha 
明打威族	Mentawi 
俄罗斯沙皇	Russian Tsar 
乙未战争	Otomi War 
蓬特科沃亲王	Prince puntkovo 
supercable	supercable 
美国陆军航空军	U.S. Army Air Force 
芬德·罗德斯钢琴	Find Rhodes piano 
芭芭拉·拉齐维乌	Barbara Laziviu 
兰斯干	Lanskan 
玉婵花	Yuchan Flower 
魔法公主	magical princess 
高尔基文学院	Gorky College 
守屋俊	Moriya Toshi 
王山之战	Battle of Wangshan 
