节奏蓝调	Rhythm and blues 
马来西亚青年及体育部	Ministry of Youth and Sports of Malaysia 
迪奥高维亚拿	Diogo Viana 
向风群岛	Windward Islands 
捷克斯洛伐克国家足球队	Czechoslovak National Football Team 
约翰·福赛思	John Forsyth 
ettelbruck	ettelbruck 
梅什科一世	Meszko I 
深圳风鹏足球俱乐部	Shenzhen Fengpeng Football Club 
法国国家u19国家足球队	French national u19 national football team 
丽都运河	Lido Canal 
动画影集	Animated album 
战斗车辆	Combat vehicle 
就业及年金大臣	Minister of Employment and Pensions 
comăneşti	Comanesti 
普世教会协会	Universal Church Association 
布颜特·乌卡哈体育宫	Bujant Ukaha Sports Palace 
伦齐青年会	Renzi Youth Club 
有地品之允	Have the permission 
韩国独立党	Korean Independence Party 
加兹温	Qazvin 
查尔斯·克里普斯，第一代帕穆尔男爵	Charles Cripps, the first Baron Pamur 
土耳其民主左翼党	Turkish Democratic Left Party 
刘赐贵	Liu Cigui 
苹果遥控器	Apple remote 
高丽与契丹之战	The battle between Korea and Khitan 
长町车站	Nagamachi Station 
科学普及	Common science 
1美元纸币	1 dollar bill 
瑞士20岁以下国家足球队	Switzerland Under-20 National Football Team 
耶鲁学院	Yale College 
侗台语族	Dong Taiwanese 
奥斯卡最佳男主角奖	Oscar for Best Actor 
wikt:郑州	wikt: Zhengzhou 
德黑兰石油足球俱乐部	Tehran Petroleum Football Club 
原来爱上贼	I fell in love with a thief 
捷克斯洛伐克总统	President of Czechoslovakia 
交流电	Alternating current 
亨利·格雷，第一代萨福克公爵	Henry Gray, the first Duke of Suffolk 
克洛德·阿德里安·爱尔维修	Claude Adrian Air Repair 
和泉史郎	Shiro Izumi 
tertons_f.c.	tertons_f.c. 
特等站_(中国大陆)	Special Station_(Mainland China) 
林子欣	Lin Zixin 
奥地利的唐胡安	Don Juan 
高山和真	Kazuma Takayama 
胡祖域	Hu Zuyu 
monomethylhydrazine	monomethylhydrazine 
第六届全国人民代表大会	Sixth National People's Congress 
utc+10	utc+10 
.se	.I know 
美国革命	American Revolution 
理论物理	Theoretical physics 
厄瓜多足球协会	Ecuador Football Association 
rpython	rpython 
贝鲁特国际机场	Beirut International Airport 
朝觉院	Asakakuin 
国立屏东大学民生校区	National Pingtung University Minsheng Campus 
四条畷市	Shijonawate City 
伦敦议会	London Parliament 
陈湘娟	Chen Xiangjuan 
万那杜储备银行	Reserve Bank of Vanuatu 
大谷尚辉	Otani Shanghui 
全日本公路赛	All Japan Road Race 
高速下行分组接入	High-speed downlink packet access 
依诺增爵八世	Innocent VIII 
新埔站_(新北市)	Xinpu Station_(New Taipei City) 
宇宙战舰大和号2199	Space Battleship Yamato 2199 
玛格丽特一世	Margaret I 
瑞文女子中学	Raven Girls' High School 
.ro	.RO 
冰岛足球协会	Iceland Football Association 
洪天照	Hong Tianzhao 
俄罗斯海外正教会	Russian Overseas Orthodox Church 
美国陆军部	U.S. Department of War 
香港高级组银牌	Hong Kong Senior Group Silver Medal 
旧瑞士邦联	Old Swiss Confederation 
高慧敏	Gao Huimin 
法国宪法	French Constitution 
南京复兴站	Nanjing Fuxing Station 
意大利王国_(拿破仑时代)	The Kingdom of Italy_ (Napoleonic era) 
校园4贱客	Campus 4 bitch 
越南机动车号牌	Vietnam Motor Vehicle Number Plate 
法罗群岛教会	Faroe Islands Church 
天涯侠医	End of the World Doctor 
湖城路站	Hucheng Road Station 
创世纪乐团	Genesis Orchestra 
克鲁斯-华格纳制片	Produced by Cruise Wagner 
波音商店	Boeing Store 
客户关系管理	Customer relationship management 
新界社团联会	New Territories Association of Societies 
包头南郊联社足球俱乐部	Baotou Southern Suburbs Association Football Club 
焦亚-德尔科莱	Gioia del Colle 
第八世哲布尊丹巴呼图克图	Eighth Jebzundamba Kutuktu 
山田元気	Genki Yamada 
1848年匈牙利革命	Hungarian Revolution of 1848 
阿尔·达沃萨里	Al Davosari 
匈牙利内政部长	Minister of the Interior of Hungary 
海德堡联足球俱乐部	Heidelberg United Football Club 
和硕联合科技	Pegatron United Technology 
彭亨州授勋及嘉奖制度	Pahang State Honors and Awards System 
东库希特语支	East Kushitian 
桑查·桑切斯_(潘普洛纳)	Sancha Sanchez (Pamplona) 
小杉保夫	Yasuo Kosugi 
首相私人秘书长	Prime Minister's Private Secretary 
潮州话拼音方案	Teochew Pinyin Plan 
苏美如	Su Meiru 
义大利摇滚	Italian Rock 
犹太语族	Jewish family 
香港圣玛加利女书院	St. Margaret's Girls' College, Hong Kong 
和硕和惠公主	Princess and princess 
西班牙众议院	Spanish House of Representatives 
国立雅典理工大学	National Technical University of Athens 
相模原麻沟公园竞技场	Sagamihara Magou Park Arena 
区域居民称谓词	Regional Resident Title 
卡泰真拿	Catalina 
凤凰卫视美洲台	Phoenix TV America 
石原典子	Noriko Ishihara 
四十九日·祭	Forty-nine days festival 
红色警戒：反戈一击	Red Alert: a counter-attack 
东京都知事	Governor of Tokyo 
file:square_logo.png	file:square_logo.png 
马哈奇卡拉安日足球俱乐部	Makhachkala Anri Football Club 
货物配送	Goods distribution 
sint-denijs-westrem	Sint-Denijs-Westrem 
知子女王	Chiko Queen 
罗马斗兽场	Colosseum 
柏达邦07体育会	Patabong 07 Sports Club 
信浓之国	Shinano country 
垃圾摇滚	Grunge 
托文拿	Torvena 
赵成夏	Zhao Chengxia 
杨姓	Yang Surname 
今川氏真	Imagawa Ujizane 
角川集团	Kadokawa Group 
麻醉风暴	Anesthesia Storm 
movieplex	Movieplex 
南岛民族	South Island People 
城崎温泉车站	Kinosaki Onsen Station 
阇耶跋摩二世	Jayavarman II 
刑事侦缉档案iii	Criminal Investigation File iii 
克莱孟七世	Clement VII 
中央军事委员会政治工作部	Political Work Department of the Central Military Commission 
存在哲学	Existential philosophy 
三姊妹_(韩国电视剧)	Three Sisters_ (Korean TV Drama) 
波兰乌克兰战争	Polish-Ukrainian War 
曹怀东	Cao Huaidong 
斯特拉托二世	Strato II 
和之味集团	Hezhiwei Group 
奢羯罗	Shekhara 
写歌者	Songwriter 
香港乙组联赛	Hong Kong League Two 
kylähullut	Village crazy 
柬埔寨瑞尔	Cambodian Riel 
洪昭子	Hong Zhaozi 
亚琛战役	Battle of Aachen 
德国第3装甲军团	German 3rd Armored Corps 
机动战士高达00	Mobile Suit Gundam 00 
佐贺县民歌	Saga Folk Songs 
山名あかね	Akane Yamana 
圣乔治教堂	St. George's Church 
王津_(足球裁判)	Wang Jin_ (Football Referee) 
星野桂	Katsura Hoshino 
嫁妆_(电视剧)	Dowry_ (TV series) 
天主教香港教区	Catholic Diocese of Hong Kong 
藤原诚子	Fujiwara Seiko 
冠军方程式是戒系列赛	Formula Champion is the quit series 
古惑狼系列	Crash Wolf Series 
韦育任	Wei Yuren 
库克群岛	Island 
前204年	204 years ago 
新加坡体育理事会	Singapore Sports Council 
警察总区	Police district 
古巨基	Gu Juji 
京王电铁	Keio Electric 
消费电子产品	Consumer Electronics 
约翰·霍普，第一代林利思戈侯爵	John Hope, the first Marquis of Linlithgow 
德尼·海内门天体物理奖	Denis Heinemen Astrophysical Award 
南闪米特语支	South Semitic 
凯德尔斯顿的寇松侯爵	The Marquis of Curzon of Kedleston 
玛丽亚·克里斯蒂娜·泰莱萨_(两西西里)	Maria Cristina Telesa_ (Two Sicily) 
孙景淼	Sun Jingmiao 
泰晤士河畔金斯顿	Kingston upon Thames 
明慈皇太妃	Emperor Ming Cihuang 
西北闪米特诸语	Northwest Semitic Languages 
阿什莫尔和卡捷群岛	Ashmore and Cartier Islands 
吉野弘幸	Hiroyuki Yoshino 
武装力量	Armed forces 
施公奇案ii	Shi Gongqi case ii 
科威特超级足球联赛	Kuwait Premier League 
奥柏林集团	Oberlin Group 
济州国际机场	Jeju International Airport 
萨拉热窝大学	Sarajevo University 
里斯迪罗球场	Risdiro Stadium 
樱花乍现	Cherry blossoms 
梦幻情侣	Dream couple 
隔世追凶	Chasing the murderer 
青岛农业大学	Qingdao Agricultural University 
实藤_友纪	Shito_Yuki 
萨尔布吕肯足球俱乐部	Saarbrücken Football Club 
陈宗艺	Chen Zongyi 
黄美珍_(邵逸夫夫人)	Huang Meizhen_ (Mrs. Run Run) 
那不勒斯国王	King of Naples 
大冢彻	Otsuka Toru 
你骑自行车_我坐火车回家	You ride a bicycle _ I take the train home 
莫斯科迪纳摩	Dynamo Moscow 
威塞克斯的艾吉芙	Ai Jieff of Wessex 
南非镑	South African Pound 
教宗恩狄	Pope Endi 
石勒苏益格-荷尔斯泰因-宗德堡-奥古斯腾堡王朝	Schleswig-Holstein-Zonderburg-Augustenberg Dynasty 
中华人民共和国第十二届运动会	The 12th Games of the People's Republic of China 
中国铁路机车车辆工业总公司	China Railway Rolling Stock Industry Corporation 
夏景宗	Xia Jingzong 
洛吉尔谷区政府	Logir Valley District Government 
那波尼德	Nabonid 
河北师范大学	Hebei Normal University 
巴西众议院	Brazilian House of Representatives 
西基电脑动画	Siki Computer Animation 
空知英秋	Hideaki Sorachi 
贝勒尼基四世	Beleniki IV 
努埃瓦加的斯足球会	Nueva Gadiz Football Club 
西伯利亚出兵	Siberia sends troops 
中国男子篮球职业联赛	China Men's Basketball Professional League 
城关区_(拉萨市)	Chengguan District_(Lhasa City) 
金鹰卡通	Golden Eagle Cartoon 
全玄载	Quan Hyun-jae 
中国足球甲级联赛	Chinese Football League 
姜在涉	Jiang Jae Sheep 
冈山郡	Okayama County 
宣懿王后	Queen Xuan Yi 
德国外交部	German Ministry of Foreign Affairs 
社会群岛	Society Islands 
日笠淳	Jun Hikasa 
绝顶集	Supreme set 
阿道夫·希特勒之死	The death of Adolf Hitler 
不丹时间	Bhutan Time 
澳大利亚八校联盟	Australia Eight Schools Alliance 
军事成就勋章	Military Achievement Medal 
芬兰大公后	Queen of Finland 
北叶门总统	President North Yemen 
香港警察徽章	Hong Kong Police Badge 
西伯利亚语组	Siberian group 
周公与桃花女_(叶青歌仔戏)	Zhou Gong and Peach Girl_ (Ye Qing Taiwanese Opera) 
加拿大皇家医科学院	Royal College of Medicine of Canada 
第七代亨廷顿和诺森布里亚伯爵圣利兹的西蒙三世	Simon III of St. Leeds, 7th Earl of Huntington and Northumbria 
渡边胜也	Katsuya Watanabe 
商业软件	commercial software 
新迷幻乐	New psychedelic music 
非洲统一组织	Organization of African Unity 
自治共和国	Autonomous republic 
远山敦子	Toyama Atsuko 
国家园林城市	National Garden City 
奥地利的安东大公	Archduke Anton of Austria 
法国军事史	French military history 
北非战场	North Africa Battlefield 
哥斯达黎加大学	University of Costa Rica 
刘繁蔚	Liu Fanwei 
天主教巴兰基亚总教区	Catholic Archdiocese of Barranquilla 
马斯友美党	Mas Youmei Party 
丰德丽控股	Fengdeli Holdings 
大乌斯河	Grand ous 
向德深	Xiang Deshen 
新帝国主义	New imperialism 
认知科学	Cognitive science 
尼泊尔摇滚	Nepal Rock 
铁道博物馆站	Railway Museum Station 
内布拉斯加大学	University of Nebraska 
王麟祥	Wang Linxiang 
广州白云国际机场_(1933－2004年)	Guangzhou Baiyun International Airport_(1933-2004) 
暴走法医	Runaway forensic 
智利比索	Chilean Peso 
台维斯杯	Davis Cup 
卡尔十三世	Karl XIII 
雍正王朝	Yongzheng Dynasty 
2010/11赛季欧洲冠军联赛	2010/11 season UEFA Champions League 
鱼骨头	fish bones 
教宗若望四世	Pope John IV 
孝成敬皇后	Empress Zhang 
美国参议院退伍军人事务委员会	U.S. Senate Committee on Veterans Affairs 
舞力全开3	Just Dance 3 
通讯设备	Communication equipment 
格芬唱片公司	Geffen Records 
天主教伊莫拉教区	Catholic Diocese of Imola 
迷宫恋曲	Labyrinth 
沃尔沃集团	Volvo Group 
绯贺由香理	Higa Yukari 
三原雅俊	Masatoshi Mihara 
清太宗继妃	Emperor Taizong of the Qing Dynasty 
缅因大学	University of Maine 
.tm	.tm 
小韦恩	Little Wayne 
布列塔尼女公爵康斯坦丝	Constance, Duchess of Brittany 
金亨溢	Jin Hengyi 
周正庆	Zhou Zhengqing 
博科尼大学	Bocconi University 
谢维和	Xie Weihe 
井波靖奈	Sena Inami 
南突厥语支	South Turkic 
电子游戏机历史_(第四世代)	History of electronic game consoles_ (fourth generation) 
郑州站	Zhengzhou Railway Station 
缅甸欧洲人	Burmese Europeans 
李锦鸿	Li Jinhong 
杉森考起	Shan Sen Koki 
阿波罗登月舱	Apollo Lunar Module 
威廉·吉布森_(澳大利亚政治家)	William Gibson_ (Australian politician) 
zlatitsa	zlatitsa 
ah-1z蝰蛇直升机	ah-1z Viper helicopter 
夏季奥林匹克运动会	Summer Olympic Games 
恶战_(我为喜剧狂)	Battle _ (I am a comedy mad) 
建构主义_(学习理论)	Constructivism_ (Learning Theory) 
五港总督	Governor of Five Ports 
王心慰	Wang Xinwei 
蒙吉萨战役	Battle of Mongissa 
陈绿平	Chen Luping 
塔兰潘特拉_(巴兹)	Tarampantla_ (Baz) 
ubuntu发行版列表	ubuntu release list 
恋爱冒险游戏	Love adventure game 
波兰陆军	Polish Army 
花泽香菜	Hanazawa Coriander 
布莱克本_(英国国会选区)	Blackburn_(British Parliamentary District) 
北京国会旧址	Beijing Congress Site 
皇民化运动	Emperor movement 
开丽娱乐经纪	Kaili Entertainment Broker 
缅甸军队	Burma Army 
佛兰德的朱迪丝	Judith of Flanders 
赎罪日	Yom Kippur 
西北印第安战争	Northwest Indian War 
一条实辉	A Shihui 
westmere微架构	westmere microarchitecture 
网络游戏	Online game 
何群娥	He Qun'e 
峇峇马来语	Baba Malay 
富安健洋	Fu An Jian Yang 
入侵巴拿马	Invade Panama 
联合国日内瓦办事处	United Nations Office at Geneva 
郑兆均	Zheng Zhaojun 
滋宫韶子内亲王	Prince of Zi Gong Shao Zi Nei 
澳门-macau	Macau-macau 
上里一将	The last one 
伦敦地上铁	London Overground Rail 
行政区_(纽约市)	Administrative District_ (New York City) 
file:《孝哲毅皇后朝服像》.jpg	file: "Portrait of Queen Xiaozheyi in court dress".jpg 
斯普利特足球俱乐部	Split Football Club 
冰岛外交部长	Minister of Foreign Affairs of Iceland 
水星唱片	Mercury Records 
霹雳小组系列	Thunder Team Series 
利物浦市议会	Liverpool City Council 
石家庄天工足球俱乐部	Shijiazhuang Tiangong Football Club 
古籍研究社系列	Ancient Books Research Society Series 
欧洲文化之都	European Capital of Culture 
老挝国会	Lao National Assembly 
富士见町	Fujimi Town 
afrobeat	afrobeat 
美丽人生_(梁静茹专辑)	Beautiful Life_(Leong Jingru Album) 
pdp-10	PDP-10 
玛丽亚·莫鲁兹-库扎	Maria Moruz-Kuza 
英国电影学院奖最佳男配角	British Film Academy Awards for Best Supporting Actor 
卡利体育球场	Cali Sports Stadium 
田口淳之介	Junnosuke Taguchi 
等等力陆上竞技场	Equal Force Land Arena 
布吉摇滚	Boogie rock 
上海嘉定城发	Shanghai Jiading City Development 
s:文化部组织法	s: Organic Law of the Ministry of Culture 
中国共产党福建省委员会	Fujian Provincial Committee of the Communist Party of China 
美国通用电气公司	General Electric Company 
天主教首尔教省	Catholic Province of Seoul 
罗浩楷	Luo Haokai 
美国排位名单	U.S. Qualifying List 
塞尔维亚足球协会	Serbian Football Association 
拉里萨足球俱乐部	Larissa Football Club 
尼日尔-刚果语系	Niger-Congo 
神奈川县第14区	District 14 of Kanagawa Prefecture 
三个代表	Three representatives 
理子女王	Queen Riko 
绍瓦蓬王太后	Queen Mother Sauvapong 
俄罗斯联邦国防部	Ministry of Defense of the Russian Federation 
尤卡坦半岛	Yucatan Peninsula 
多瑙斯特雷达	Donaustreda 
储存装置	Storage device 
好人，坏人和女皇	Good guys, bad guys and queens 
台视新闻台	TTV News Channel 
民主社会主义党	Democratic Socialist Party 
彼得保罗主教座堂	Peter and Paul Cathedral 
东尼·怀特佛得	Tony Whitefield 
救世传说	Salvation Legend 
长崎县民歌	Nagasaki Folk Songs 
中国共产党吉林省委员会	Jilin Provincial Committee of the Communist Party of China 
蒙彼利埃_(佛蒙特州)	Montpellier_(Vermont) 
作家杰克	Writer jack 
结城真一	Yuki Shinichi 
袁瀚轩	Yuan Hanxuan 
内阁府特命担当大臣	Minister in charge of the Cabinet Office 
波兰元帅	Marshal of Poland 
协和广场	Xiehe square 
特兰米尔流浪者足球俱乐部	Tranmere Rangers Football Club 
袁健生	Yuan Jiansheng 
中央军事委员会国际军事合作办公室	Central Military Commission International Military Cooperation Office 
尼加拉瓜科多巴	Cordoba, Nicaragua 
圣约翰_(新不伦瑞克)	St. John's (New Brunswick) 
几何战争	Geometric war 
