桥本由香利	Hashimoto Yukari 
捷克国家银行	Czech National Bank 
乌克兰希腊礼天主教费城总主教	Ukrainian Greek Catholic Archbishop of Philadelphia 
墨西哥17岁以下国家足球队	Mexico Under-17 National Football Team 
沪杭磁悬浮交通项目	Shanghai-Hangzhou Maglev Transportation Project 
罗德岛大学	University of Rhode Island 
塞琉古四世	Seleucid IV 
inscript_(javascript_engine)	inscript_(javascript_engine) 
塞尔维亚王国	Kingdom of Serbia 
北高加索叛乱	North Caucasus Rebellion 
占语支	Cham 
爱贝克思唱片	Abex Records 
伊朗民族阵线	National Iranian Front 
大众帕萨特	Volkswagen Passat 
侠客行_(2002年电视剧)	Xia Ke Xing_ (2002 TV series) 
露丝·汉丁顿-维莉	Ruth Huntington-Villie 
爱媛县旗	Ehime Prefecture Flag 
原子轨道	Atomic orbital 
阿拉摩之战	Battle of the Alamo 
贝勒尼基一世	Beleniki I 
终极动员令：最后的幸存者	Ultimate Mobilization Order: The Last Survivor 
麦觉里_(澳大利亚国会选区)	Macquarie_(Australia Parliamentary District) 
捷克克朗	Czech Koruna 
吉本聪子	Yoshimoto Satoko 
s:中华人民共和国人民检察院组织法	s: Organic Law of the People's Procuratorate of the People's Republic of China 
伊拉克库尔德斯坦总理	Prime Minister of Iraqi Kurdistan 
汶莱-穆阿拉区	Brunei-Muara District 
皮尔马森斯足球俱乐部	Pirmasens Football Club 
蜂须贺正韶	Bee Suga Zhengshao 
横滨市歌	Yokohama City Song 
火蛇70航空火箭弹	Fire snake 70 aviation rocket 
地球同步轨道	Geosynchronous orbit 
英属处女群岛总督	Governor of the British Virgin Islands 
新竹fc女子足球队	Hsinchu fc women's football team 
机制设计	Mechanism design 
萨普里萨体育俱乐部	Saprisa Sports Club 
独立国家联合体	Commonwealth of Independent States 
波兰20岁以下国家足球队	Poland Under-20 National Football Team 
巴达隆拿足球会	Badalona Football Club 
韦景云	Wei Jingyun 
天中文化	Tianzhong Culture 
白文杰	Bai Wenjie 
华沙市长	Mayor of Warsaw 
战栗时空2：二部曲	Shivering Time 2: Two Steps 
轻小说	light novel 
马拉松体育俱乐部	Marathon Sports Club 
约翰尼·戴维斯_(篮球运动员)	Johnny Davis_ (basketball player) 
卡拉恰伊-切尔克斯共和国	Karachay-Cherkessia Republic 
格鲁吉亚梦想	Georgian dream 
藤原安子	Fujiwara Yasko 
刘建忻	Liu Jianxin 
托尼·霍克职业滑板系列	Tony Hawke Professional Skateboard Series 
亚历克西娅_(希腊公主)	Alexia_ (Princess of Greece) 
阿特南-普赫海姆	Attnang-Puchheim 
澳门特别行政区行政长官选举委员会	Chief Executive Election Committee of Macao Special Administrative Region 
西川公也	Koya Nishikawa 
淡滨尼流浪足球会	Tampines Rangers Football Club 
坂本和哉	Kazuya Sakamoto 
宇都宫恭三	Utsunomiya Kyzo 
慈善机构	Charity 
中央外事工作领导小组办公室	Office of the Central Leading Group for Foreign Affairs 
陈建生_(1956年)	Chen Jiansheng_ (1956) 
里德林根	Riedlingen 
塞琉古二世	Seleucus II 
蒙特利尔地铁	Montreal Metro 
冈田将生	Okada Masao 
马略卡足球俱乐部	Majorca Football Club 
钉宫磐	Nagiyawa 
海军元帅_(英国皇家海军)	Marshal_ (Royal Navy) 
北京地铁	Beijing subway 
爱媛之歌	Song of Ehime 
kotkan_työväen_palloilijat	Eagle Workers Ball Players 
马来西亚令吉	Malaysian Ringgit 
摩尔甘比足球俱乐部	Moregamby Football Club 
黎巴嫩陆军	Lebanese Army 
美国功勋勋章	American Medal of Merit 
老挝君主列表	List of Lao Monarchs 
天主教莫雷利亚总教区	Catholic Archdiocese of Morelia 
小布在哪里	Where is Xiaobu 
超导现象	Superconductivity 
雅基马县	Yakima County 
狐仙的恋爱入门	Introduction to Fox Fairy's Love 
美国东岸	US East Coast 
荷兰财政部	Dutch Ministry of Finance 
佛罗伦萨统治者列表	List of rulers of Florence 
神探伽利略	Detective Galileo 
耶和华见证人	Jehovah's Witnesses 
武部勤	Takebe 
模拟城市之大狂飙	Simulated City Hurricane 
帕克斯足球俱乐部	Parkes Football Club 
拉斯克基础医学研究奖	Lasker Basic Medical Research Award 
织田信秀	Nobuhide Oda 
马来西亚交通部	Ministry of Transport of Malaysia 
当别町	Tobetsu Town 
香港五毫硬币	Hong Kong Five Cents Coin 
德黑兰市长	Mayor of Tehran 
宜万铁路	Yiwan Railway 
和泉宗兵	Shuhei Izumi 
加泰罗尼亚语地区	Catalan region 
中村英之	Nakamura Hideyuki 
安条克公国	Principality of Anjo 
西南政法大学	Southwest University of Political Science and Law 
曼恩伯爵夫人列表	List of Countess Mann 
右翼政党	Right-wing party 
藤原延子_(藤原赖宗女)	Fujiwara Nobiko_(Fujiwara Yoshizong Daughter) 
翁以登	Weng Yideng 
立命馆大学	Ritsumeikan University 
辻野正人	Masato Tsujino 
岩波拓也	Takuya Iwanami 
日本-琉球语系	Japanese-Ryukyu Language 
大仁科技大学	Daren University of Technology 
新亚塞拜然党	New Azerbaijan Party 
爱的耳环	Love earrings 
欧阳常林	Ouyang Changlin 
燕京大学	Yenching University 
熊谷纯	Jun Kumagai 
a&m唱片	a&m record 
邵素云	Shao Suyun 
意大利南部	Southern Italy 
吉尔吉斯行政区划	Administrative divisions of Kyrgyzstan 
叙利亚民主力量	Syrian Democratic Forces 
十月廿五	October 25 
圣但尼_(留尼汪)	Saint-Denis_(Reunion) 
自然选择	natural selection 
民主党_(1996年)	Democratic Party_ (1996) 
詹笔涵	Zhan Bihan 
伊朗伊斯兰共和国防空军	Air Defense of the Islamic Republic of Iran 
古斯塔夫·德·莫利纳里	Gustave de Molinari 
巴尔的摩市议会	Baltimore City Council 
里米尼	Rimini 
妖兽都市(电台节目)	Monster City (radio show) 
苏联入侵波兰	Soviet invasion of Poland 
最终幻想vi	Final fantasy vi 
莫斯科州土星足球俱乐部	Saturn Football Club of Moscow Region 
新日本桥站	Shin Nihonbashi Station 
陈廷煌	Chen Tinghuang 
阿尔泰共和国国歌	National Anthem of the Altai Republic 
男人的故事	Man's story 
万博纪念竞技场	Expo '70 Memorial Arena 
亚洲运动会足球比赛	Asian Games football match 
玻色–爱因斯坦统计	Bose-Einstein Statistics 
韩国电信	Korea Telecom 
尼尔斯·玻尔研究所	Niels Bohr Institute 
中国共产党江西省委员会	Jiangxi Provincial Committee of the Communist Party of China 
多哥总统	President of Togo 
有栖川宫帜仁亲王	Prince Shiren 
南方卫理公会大学	Southern Methodist University 
赞比亚足球协会	Zambia Football Association 
福家勇辉	Fukuoka Yonghui 
皮拉_(西班牙公主)	Pila_ (Spanish Princess) 
安昙野市	Azumino City 
第8军团	8th Army 
老友记_(第六季)	Friends_ (Sixth Season) 
.kg	.kg 
rukiga	learn 
岸诚二	Kishi Seiji 
乔治·戈申，第二代戈申子爵	George Goshen, the second Viscount Goshen 
仍吉德王朝	Still Jidd Dynasty 
模拟农场	Simulation farm 
第三届夏赫里尔内阁	The 3rd Shahriel Cabinet 
岩松荣司	Iwamatsu Eiji 
南达科他州立大学	South Dakota State University 
印度财政部部长	Minister of Finance of India 
坊城伸子	Nobuko Bojo 
苏联国徽	Soviet Union National Emblem 
维格纳定理	Wigner theorem 
筑馆范男	Tsukate Norio 
越难越爱	The harder the more love 
威廉姆斯车队	Williams Team 
叶连娜·奥列格夫娜	Yelena Olegvna 
中川敬辅	Takashi Nakagawa 
nitro+	nitro+ 
德黑兰政治学院	Tehran Institute of Political Science 
青云大学音乐放送系	Department of Music Broadcasting, Qingyun University 
阮福映	Nguyen Phuc Anh 
小䴙䴘	Small creeps 
坦帕湾光芒	Tampa Bay Rays 
网页游戏	Web games 
缅甸联邦议会人民院	People's House of the Union of Myanmar 
凯尔特人公园球场	Celtic Park Stadium 
英国驻越南大使	British Ambassador to Vietnam 
湾仔足球队	Wan chai football team 
崔斗善	Choi Doo Sun 
莱索托首相列表	List of Prime Ministers of Lesotho 
克罗地亚足球乙级联赛	Croatian Football Second Division 
岸野靖之	Yasuyuki Kishino 
韩立明	Han Liming 
全世界无产者，联合起来！	Proletarians of the world, unite! 
黑山足球协会	Montenegro Football Association 
克里基塔特县	Creekitat county 
董冬冬	Dong Dongdong 
南圣卡埃塔诺	San Caetano do Sul 
mi-26直升机	mi-26 helicopter 
尹盛敏	Yin Shengmin 
环境部长	Environment minister 
变速箱软件公司	Transmission Software Company 
幸运薛达	Lucky Xue Da 
会飞的家乡	Hometown that can fly 
让-马丁·沙可	Jean-Martin Shaco 
北白川宫智成亲王	Prince Chisei Kitashirakawa 
首席工作专员	Chief Work Officer 
萨尔瓦多中央储备银行	Central Reserve Bank of El Salvador 
尾本敬	Omoto Kei 
哥利巴里	Colibri 
松平忠和_(岛原藩主)	Tadakazu Matsudaira_ (lord of the island) 
京都町	Kyoto town 
凌时差音乐	Time difference music 
放克核	Funk 
小泉欢晃	Koizumi Kanaki 
最小作用量原理	Principle of least action 
平妃_(康熙帝)	Ping Fei_(Kangxi Emperor) 
葡萄牙社会党	Portuguese Socialist Party 
板仓滉	Itakura 
美国驻英国大使	U.S. Ambassador to the United Kingdom 
大波兰省	Greater Poland 
长春西站	Changchun West Railway Station 
卡尔十六世	Karl XVI 
奥西里斯_(dc漫画)	Osiris_ (dc comics) 
韩国艺术综合大学	Korea National University of Arts 
中央情报总监	Director of Central Intelligence 
大巽他群岛	Greater Sunda Islands 
淑女之家	Ladies House 
大老婆的反击	Big wife's counterattack 
酉阳土家族苗族自治县	Youyang Tujia and Miao Autonomous County 
百货公司	Department store 
interscope唱片	interscope record 
银河铁道物语	Galaxy Railway Story 
丈夫死了	Husband is dead 
哈维若夫足球俱乐部	Haveroff Football Club 
嘉义县第二选举区_(2008年立法委员)	Second Election District of Chiayi County_ (2008 Legislative Councillor) 
环境音乐	Ambient music 
诺森伯兰县_(弗吉尼亚州)	Northumberland County_ (Virginia) 
剑桥大学莫德林学院	Modlin College, University of Cambridge 
marsanne_dr%3fme	marsanne_dr%3fme 
朱琳_(李鹏夫人)	Zhu Lin_(Mrs. Li Peng) 
格里斯兰大学	Grisland University 
大国文化	Big country culture 
卡带单曲	Cassette single 
木村麻美	Kimura Asami 
县委书记	County Party Secretary 
吴有明	Wu Youming 
温州蜜柑	Wenzhou Mandarin 
保加利亚足球联会	Bulgarian Football Federation 
竹内翼	Takeuchi Tsubasa 
波斯尼亚和黑塞哥维那国徽	National Emblem of Bosnia and Herzegovina 
沈芷凝	Shen Zhining 
波兰足球丙级联赛	Polish Football League C 
上海长远集团	Shanghai Changyuan Group 
西伯利亚联邦管区	Siberian Federal District 
尼奥尔岩羚羊足球俱乐部	Niort Chamois Football Club 
高加索诸语言	Caucasian languages 
红米手机2	Redmi 2 
香槟伯爵亨利二世	Henry II of Champagne 
巴西足球协会	Brazilian Football Association 
第二次爪哇海海战	The Second Java Sea Battle 
布尔诺足球俱乐部	Brno Football Club 
武藏陵区	Musashi Mausoleum 
保定英利易通	Baoding Yingli Autopass 
李云挺	Li Yunting 
阮刚猛	Ruan Gangmeng 
美国国家海洋和大气管理局	National Oceanic and Atmospheric Administration 
爱丁顿奖章	Eddington Medal 
奥川雅也	Masaya Okugawa 
天津话	Tianjin dialect 
刘昭文	Liu Zhaowen 
联合卫理公会	United Methodist Church 
美国州份列表	List of U.S. States 
纽约州众议院发言人	Speaker of the New York State House of Representatives 
奥地利总理	Austrian chancellor 
纽波特市议会	Newport City Council 
伏见宫邦家亲王	Prince of Fushimi Palace 
列宁国际学校	Lenin International School 
艾萨克·n·奎因	Isaac N. Quinn 
碧血盐岛	Jade Blood Salt Island 
米内罗竞技	Atletico Mineiro 
国立中央大学	National Central University 
温家宝政府	Wen Jiabao Government 
珣子内亲王	Prince of kunzi 
阿波马托克斯战役	Battle of Appomattox 
高级中学	High school 
中村将	Nakamura 
犹太教正统派	Judaism Orthodox 
荷兰裔苏里南人	Dutch Surinamese 
海涅－博雷尔定理	Heine-Borrel theorem 
爱沙尼亚摇滚	Estonian Rock 
初级中学	Junior high school 
成穆贵妃	Concubine Cheng Mu 
高利巴里	Golibari 
哈尔滨铁路局	Harbin Railway Bureau 
曼苏尔‧本‧扎耶德‧阿勒纳哈扬	Mansour Bin Zayed Al Nahyan 
杉浦正健	Seiken Sugiura 
成都钱宝	Chengdu Qianbao 
羽柴秀胜_(石松丸)	Hidekazu Hashiba_ (Ishimatsu Maru) 
浦那足球俱乐部	Pune Football Club 
第十六代沃里克伯爵夫人安妮·内维尔	Anne Neville, 16th Countess of Warwick 
北京大学地质学馆旧址	The old site of Peking University Geology Museum 
朱燕来	Zhu Yanlai 
日本23岁以下国家足球队	Japan Under-23 National Football Team 
天主教斯波莱托-诺尔恰总教区	Catholic Archdiocese of Spoleto-Norcia 
中国新华航空	China Xinhua Airlines 
香港警察历史	Hong Kong Police History 
告示牌百强单曲榜	Billboard Top 100 Singles Chart 
足利义嗣	Ashikaga 
阿拉贡君主列表	List of Aragonese monarchs 
哈尔滨太平国际机场	Harbin Taiping International Airport 
曼弗雷迪_(西西里国王)	Manfredi_ (King of Sicily) 
胜利车厂	Victory Depot 
客家电视台	Hakka TV 
今天情人节	Valentine's Day today 
四家启助	Shijia Kesuke 
镶蓝旗	Blue flag 
莫君虞	Mo Junyu 
变身！公主偶像	Transform! Princess idol 
不赛因	Nonsense 
村田翔	Murata Sho 
安东尼奥·加斯顿王子（奥尔良-布拉干萨）	Prince Antonio Gaston (Orleans-Braganza) 
孔艾尔夫	Kungalv 
西匈奴语支	Western Huns 
美味大挑战	Delicious challenge 
民主共和党联盟	Democratic Republican League 
上海聚运动	Shanghai Poly Sports 
湖南高等学堂	Hunan Higher School 
俄罗斯紧急情况部	Russian Ministry of Emergency Situations 
张希载	Zhang Xizai 
欧盟委员会	European Commission 
中国（天津）自由贸易试验区	China (Tianjin) Pilot Free Trade Zone 
拉博特尼基足球俱乐部	Labotniki Football Club 
乔治·蒙巴顿，第二代米尔福德黑文侯爵	George Mountbatten, the second Marquis of Milford Haven 
费雷拉足球俱乐部	Ferreira Football Club 
那珂市	Naka City 
欧洲保守与改革党群	European Conservative and Reform Party 
自由市场	free market 
公民不服从	Civil disobedience 
pravia	pravia 
马其顿共和国总理	Prime Minister of the Republic of Macedonia 
老上海旧居的外国人	Foreigners in old Shanghai 
首尔市长列表	List of mayors of Seoul 
富勒顿学院	Fullerton College 
奥斯特奖章	Oster Medal 
小爱德华·甘迺迪	Little Edward Kennedy 
中国合伙人	Chinese Partners 
gjelbrim_taipi	gjelbrim_taipi 
首里	Shuri 
怀化南站	Huaihua South Railway Station 
常宫昌子内亲王	Prince Changzi Nai 
舍伯恩修道院	Sherborne Abbey 
史达林奖	Stalin Award 
萨英战争	Sa-British War 
镜野町	Kagamino Town 
哥斯达黎加中央银行	Central Bank of Costa Rica 
南非兰特	South African Rand 
酷儿理论	Queer Theory 
宪政民主党	Constitutional Democratic Party 
乌德勒兹同盟	Utrecht League 
克里米亚国旗	Crimea flag 
恩施土家族苗族自治州	Enshi Tujia and Miao Autonomous Prefecture 
中央军事委员会后勤保障部	Logistics Support Department of the Central Military Commission 
科布雷素体育会	Cobrexo Sports Club 
乌江	Wujiang 
石田胜之	Ishida Katsuyuki 
土耳其行政区划	Administrative divisions of Turkey 
贵霜币	Guishuang Coin 
更强	Stronger 
京丹后市	Kyotango City 
亚塞尔·奥辛斯达拿	Yasser Ossinstadner 
红喉蜂鸟	Red Throated Hummingbird 
乔治敦_(开曼群岛)	Georgetown_(Cayman Islands) 
魔域幻境	Demon Realm 
社会哲学	Social philosophy 
第三代法夫公爵詹姆斯·卡内基	James Carnegie, the third Duke of Fife 
弗雷德里克·约翰·罗宾逊，第一代戈德里奇子爵	Frederick John Robinson, the first Viscount Goderich 
核酸结构	Nucleic acid structure 
宫崎县民歌	Miyazaki Folk Songs 
甘地社会主义	Gandhi Socialism 
fillér	penny 
西本雅崇	Masataka Nishimoto 
冈野刚	Okano Go 
格但斯克大学	University of Gdansk 
教育认证	Education certification 
角田秀松	Hidematsu Tsunoda 
格拉斯哥普鲁范_(苏格兰议会选区)	Glasgow Prufan_ (Scottish Parliament constituency) 
耶稣教堂	Church of jesus 
海军财务主管	Navy treasurer 
马杜赖	Madurai 
弗朗切斯科二世_(两西西里)	Francesco II_ (Two Sicily) 
日本电视台周六连续剧	Nippon TV Saturday series 
阿卜杜拉一世	Abdullah I 
空军司令指挥部	Air Force Command 
西大路站	Xidalu Station 
野垣内俊	Shun Nogaito 
巴林中央银行	Central Bank of Bahrain 
刘曙光	Liu Shuguang 
.இலங்கை	.Sri Lanka 
粉岭礼贤会中学	Fanling Rhenish Church Secondary School 
爱尔兰统一	Irish unity 
福克兰宪法	Falkland Constitution 
萧迺震	Xiao Ningzhen 
斯里兰卡空军体育会	Sri Lanka Air Force Sports Association 
桥本卓	Hashimoto Taku 
＊～米字键～	＊～米字key～ 
